"Result","IsRoleAllowedAsPerConfluence::Allowed,NotAllowed","IsRoleAllowedActually","MethodName","APIEndPoint","userName","Role","Typeofrequest","Payload","ResponseStatusCOde","Response"
"Pass","Confluence - NotAllowed","ActualResult - NotAllowed","tenantAdminSavePluginSystemInfoUpdateAPI","https://emea.dev.apiv2.carear.app/tenantAdmin/tenants/02YQ6pnBCc9c9sxJOlYN/savePluginSystemInfo","deveu01.apiauto@gmail.com","api_super_admin","POST","{""password"":""Testing1"",""apiURL"":""Test"",""fqdn"":""Hiezhmoaqm"",""iName"":""WEBAPI"",""tenantId"":""02YQ6pnBCc9c9sxJOlYN"",""username"":""mohammednizhar.p+2@carear.com"",""token"":""67b1288ff225adbab24e""}","403","{""error"":""Insufficient Permission"",""message"":""Failed to authenticate the User""}"
"Pass","Confluence - Allowed","ActualResult - Allowed","tenantAdminSavePluginSystemInfoUpdateAPI","https://emea.dev.apiv2.carear.app/tenantAdmin/tenants/02YQ6pnBCc9c9sxJOlYN/savePluginSystemInfo","deveu02.apiauto@gmail.com","super_admin","POST","{""password"":""Testing1"",""apiURL"":""Test"",""fqdn"":""Mtvyeiyixv"",""iName"":""WEBAPI"",""tenantId"":""02YQ6pnBCc9c9sxJOlYN"",""username"":""mohammednizhar.p+2@carear.com"",""token"":""67b1288ff225adbab24e""}","200","{""message"":""Successfully updated the Web API configuration"",""secretResponse"":{""message"":""Successfully updated the Tenant's WEBAPI Key"",""status"":""updated"",""version"":""projects/779938519349/secrets/02YQ6pnBCc9c9sxJOlYN_WEBAPI/versions/52""}}"
"Pass","Confluence - NotAllowed","ActualResult - NotAllowed","tenantAdminSavePluginSystemInfoUpdateAPI","https://emea.dev.apiv2.carear.app/tenantAdmin/tenants/02YQ6pnBCc9c9sxJOlYN/savePluginSystemInfo","Venkata.Jonnalagadda@carear.com","SystemAnalyst","POST","{""password"":""Testing1"",""apiURL"":""Test"",""fqdn"":""Jfuyhnnveo"",""iName"":""WEBAPI"",""tenantId"":""02YQ6pnBCc9c9sxJOlYN"",""username"":""mohammednizhar.p+2@carear.com"",""token"":""67b1288ff225adbab24e""}","403","{""error"":""Insufficient Permission"",""message"":""Failed to authenticate the User""}"
"Pass","Confluence - NotAllowed","ActualResult - NotAllowed","tenantAdminSavePluginSystemInfoUpdateAPI","https://emea.dev.apiv2.carear.app/tenantAdmin/tenants/02YQ6pnBCc9c9sxJOlYN/savePluginSystemInfo","Venkata.Jonnalagadda+1@carear.com","PartnerCreator","POST","{""password"":""Testing1"",""apiURL"":""Test"",""fqdn"":""Zyolcbzazq"",""iName"":""WEBAPI"",""tenantId"":""02YQ6pnBCc9c9sxJOlYN"",""username"":""mohammednizhar.p+2@carear.com"",""token"":""67b1288ff225adbab24e""}","403","{""error"":""Insufficient Permission"",""message"":""Failed to authenticate the User""}"
"Pass","Confluence - Allowed","ActualResult - Allowed","tenantAdminSavePluginSystemInfoUpdateAPI","https://emea.dev.apiv2.carear.app/tenantAdmin/tenants/02YQ6pnBCc9c9sxJOlYN/savePluginSystemInfo","mohammednizhar.p+2@carear.com","PrimaryTenantAdmin","POST","{""password"":""Testing1"",""apiURL"":""Test"",""fqdn"":""Xeeyixokfz"",""iName"":""WEBAPI"",""tenantId"":""02YQ6pnBCc9c9sxJOlYN"",""username"":""mohammednizhar.p+2@carear.com"",""token"":""67b1288ff225adbab24e""}","200","{""message"":""Successfully updated the Web API configuration"",""secretResponse"":{""message"":""Successfully updated the Tenant's WEBAPI Key"",""status"":""updated"",""version"":""projects/779938519349/secrets/02YQ6pnBCc9c9sxJOlYN_WEBAPI/versions/53""}}"
"Pass","Confluence - Allowed","ActualResult - Allowed","tenantAdminSavePluginSystemInfoUpdateAPI","https://emea.dev.apiv2.carear.app/tenantAdmin/tenants/02YQ6pnBCc9c9sxJOlYN/savePluginSystemInfo","mohammednizhar.p+3@carear.com","SecondaryTenantAdmin","POST","{""password"":""Testing1"",""apiURL"":""Test"",""fqdn"":""Itrfcklacm"",""iName"":""WEBAPI"",""tenantId"":""02YQ6pnBCc9c9sxJOlYN"",""username"":""mohammednizhar.p+2@carear.com"",""token"":""67b1288ff225adbab24e""}","200","{""message"":""Successfully updated the Web API configuration"",""secretResponse"":{""message"":""Successfully updated the Tenant's WEBAPI Key"",""status"":""updated"",""version"":""projects/779938519349/secrets/02YQ6pnBCc9c9sxJOlYN_WEBAPI/versions/54""}}"
"Pass","Confluence - NotAllowed","ActualResult - NotAllowed","tenantAdminSavePluginSystemInfoUpdateAPI","https://emea.dev.apiv2.carear.app/tenantAdmin/tenants/02YQ6pnBCc9c9sxJOlYN/savePluginSystemInfo","mohammednizhar.p+4@carear.com","Analyst","POST","{""password"":""Testing1"",""apiURL"":""Test"",""fqdn"":""Udpbtbvkpg"",""iName"":""WEBAPI"",""tenantId"":""02YQ6pnBCc9c9sxJOlYN"",""username"":""mohammednizhar.p+2@carear.com"",""token"":""67b1288ff225adbab24e""}","403","{""error"":""Insufficient Permission"",""message"":""Failed to authenticate the User""}"
"Pass","Confluence - NotAllowed","ActualResult - NotAllowed","tenantAdminSavePluginSystemInfoUpdateAPI","https://emea.dev.apiv2.carear.app/tenantAdmin/tenants/02YQ6pnBCc9c9sxJOlYN/savePluginSystemInfo","mohammednizhar.p+6@carear.com","User","POST","{""password"":""Testing1"",""apiURL"":""Test"",""fqdn"":""Rujuayuhjd"",""iName"":""WEBAPI"",""tenantId"":""02YQ6pnBCc9c9sxJOlYN"",""username"":""mohammednizhar.p+2@carear.com"",""token"":""67b1288ff225adbab24e""}","403","{""error"":""Insufficient Permission"",""message"":""Failed to authenticate the User""}"
"Pass","Confluence - NotAllowed","ActualResult - NotAllowed","tenantAdminSavePluginSystemInfoUpdateAPI","https://emea.dev.apiv2.carear.app/tenantAdmin/tenants/02YQ6pnBCc9c9sxJOlYN/savePluginSystemInfo","mohammednizhar.p+5@carear.com","Creator","POST","{""password"":""Testing1"",""apiURL"":""Test"",""fqdn"":""Jaqrzbkypn"",""iName"":""WEBAPI"",""tenantId"":""02YQ6pnBCc9c9sxJOlYN"",""username"":""mohammednizhar.p+2@carear.com"",""token"":""67b1288ff225adbab24e""}","403","{""error"":""Insufficient Permission"",""message"":""Failed to authenticate the User""}"
"Pass","Confluence - NotAllowed","ActualResult - NotAllowed","tenantAdminSavePluginSystemInfoUpdateAPI","https://emea.dev.apiv2.carear.app/tenantAdmin/tenants/02YQ6pnBCc9c9sxJOlYN/savePluginSystemInfo","mohammednizhar.p+7@carear.com","AnotherPrimaryTenantAdmin","POST","{""password"":""Testing1"",""apiURL"":""Test"",""fqdn"":""Mdjbonzorl"",""iName"":""WEBAPI"",""tenantId"":""02YQ6pnBCc9c9sxJOlYN"",""username"":""mohammednizhar.p+2@carear.com"",""token"":""67b1288ff225adbab24e""}","403","{""error"":""Insufficient Permission"",""message"":""Failed to authenticate the User""}"
