"Result","IsRoleAllowedAsPerConfluence::Allowed,NotAllowed","IsRoleAllowedActually","MethodName","APIEndPoint","userName","Role","Typeofrequest","Payload","ResponseStatusCOde","Response"
"Pass","Confluence - Allowed","ActualResult - Allowed","deleteTenantAPI","https://dev.apiv2.carear.app/tenantManagement/deleteTenant/","dev01.apiauto@gmail.com","api_super_admin","DELETE","NA","200","{""message"":""Tenant deleted successfully!"",""error"":null}"
"Pass","Confluence - Allowed","ActualResult - Allowed","deleteTenantAPI","https://dev.apiv2.carear.app/tenantManagement/deleteTenant/","dev02.apiauto@gmail.com","super_admin","DELETE","NA","200","{""message"":""Tenant deleted successfully!"",""error"":null}"
"Pass","Confluence - NotAllowed","ActualResult - NotAllowed","deleteTenantAPI","https://dev.apiv2.carear.app/tenantManagement/deleteTenant/","dev07.apiauto@gmail.com","SystemAnalyst","DELETE","NA","403","{""error"":""Insufficient Permission"",""message"":""Failed to authenticate the User""}"
"Pass","Confluence - NotAllowed","ActualResult - NotAllowed","deleteTenantAPI","https://dev.apiv2.carear.app/tenantManagement/deleteTenant/","dev08.apiauto@gmail.com","PartnerCreator","DELETE","NA","403","{""error"":""Insufficient Permission"",""message"":""Failed to authenticate the User""}"
"Pass","Confluence - NotAllowed","ActualResult - NotAllowed","deleteTenantAPI","https://dev.apiv2.carear.app/tenantManagement/deleteTenant/","dev03.apiauto@gmail.com","PrimaryTenantAdmin","DELETE","NA","403","{""error"":""Insufficient Permission"",""message"":""Failed to authenticate the User""}"
"Pass","Confluence - NotAllowed","ActualResult - NotAllowed","deleteTenantAPI","https://dev.apiv2.carear.app/tenantManagement/deleteTenant/","dev04.apiauto@gmail.com","SecondaryTenantAdmin","DELETE","NA","403","{""error"":""Insufficient Permission"",""message"":""Failed to authenticate the User""}"
"Pass","Confluence - NotAllowed","ActualResult - NotAllowed","deleteTenantAPI","https://dev.apiv2.carear.app/tenantManagement/deleteTenant/","dev05.apiauto@gmail.com","Analyst","DELETE","NA","403","{""error"":""Insufficient Permission"",""message"":""Failed to authenticate the User""}"
"Pass","Confluence - NotAllowed","ActualResult - NotAllowed","deleteTenantAPI","https://dev.apiv2.carear.app/tenantManagement/deleteTenant/","dev06.apiauto@gmail.com","User","DELETE","NA","403","{""error"":""Insufficient Permission"",""message"":""Failed to authenticate the User""}"
"Pass","Confluence - NotAllowed","ActualResult - NotAllowed","deleteTenantAPI","https://dev.apiv2.carear.app/tenantManagement/deleteTenant/","mohammednizhar.p@carear.com","Creator","DELETE","NA","403","{""error"":""Insufficient Permission"",""message"":""Failed to authenticate the User""}"
"Pass","Confluence - NotAllowed","ActualResult - NotAllowed","deleteTenantAPI","https://dev.apiv2.carear.app/tenantManagement/deleteTenant/","devanother03.apiauto@gmail.com","AnotherPrimaryTenantAdmin","DELETE","NA","403","{""error"":""Insufficient Permission"",""message"":""Failed to authenticate the User""}"
"Pass","Confluence - NotAllowed","ActualResult - NotAllowed","deleteTenantAPI","https://dev.apiv2.carear.app/tenantManagement/deleteTenant/","devanother03.apiauto+1@gmail.com","SecTenantAdminFromAnotherTenantUnderSameRegion","DELETE","NA","403","{""error"":""Insufficient Permission"",""message"":""Failed to authenticate the User""}"
"Pass","Confluence - NotAllowed","ActualResult - NotAllowed","deleteTenantAPI","https://dev.apiv2.carear.app/tenantManagement/deleteTenant/","devanother03.apiauto+2@gmail.com","AnalystRoleFromFromAnotherTenantUnderSameRegion","DELETE","NA","403","{""error"":""Insufficient Permission"",""message"":""Failed to authenticate the User""}"
"Pass","Confluence - NotAllowed","ActualResult - NotAllowed","deleteTenantAPI","https://dev.apiv2.carear.app/tenantManagement/deleteTenant/","devanother03.apiauto+3@gmail.com","UserRoleFromFromAnotherTenantUnderSameRegion","DELETE","NA","403","{""error"":""Insufficient Permission"",""message"":""Failed to authenticate the User""}"
"Pass","Confluence - NotAllowed","ActualResult - NotAllowed","deleteTenantAPI","https://dev.apiv2.carear.app/tenantManagement/deleteTenant/","devanother03.apiauto+6@gmail.com","CreatorRoleUserFromDifferentTenant","DELETE","NA","403","{""error"":""Insufficient Permission"",""message"":""Failed to authenticate the User""}"
"Pass","Confluence - NotAllowed","ActualResult - NotAllowed","deleteTenantAPI","https://dev.apiv2.carear.app/tenantManagement/deleteTenant/","deveu01.apiauto@gmail.com","DifferentRegionAPISuperAdmin","DELETE","NA","401","{""error"":""Invalid Token"",""message"":""Cannot destructure property 'aud' of 'jwt.decode(...)' as it is null.""}"
"Pass","Confluence - NotAllowed","ActualResult - NotAllowed","deleteTenantAPI","https://dev.apiv2.carear.app/tenantManagement/deleteTenant/","deveu02.apiauto@gmail.com","DifferentRegionSuperAdmin","DELETE","NA","401","{""error"":""Invalid Token"",""message"":""Cannot destructure property 'aud' of 'jwt.decode(...)' as it is null.""}"
"Pass","Confluence - NotAllowed","ActualResult - NotAllowed","deleteTenantAPI","https://dev.apiv2.carear.app/tenantManagement/deleteTenant/","Venkata.Jonnalagadda@carear.com","DifferentRegionSystemAnalyst","DELETE","NA","401","{""error"":""Invalid Token"",""message"":""Cannot destructure property 'aud' of 'jwt.decode(...)' as it is null.""}"
"Pass","Confluence - NotAllowed","ActualResult - NotAllowed","deleteTenantAPI","https://dev.apiv2.carear.app/tenantManagement/deleteTenant/","Venkata.Jonnalagadda+1@carear.com","DiffRegionPartnerCreator","DELETE","NA","401","{""error"":""Invalid Token"",""message"":""Cannot destructure property 'aud' of 'jwt.decode(...)' as it is null.""}"
