"Result","IsRoleAllowedAsPerConfluence::Allowed,NotAllowed","IsRoleAllowedActually","MethodName","APIEndPoint","userName","Role","Typeofrequest","Payload","ResponseStatusCOde","Response"
"Pass","Confluence - NotAllowed","ActualResult - NotAllowed","centralLookupQuantPart","https://canada.dev.apiv2.carear.app/lookup/quantEntangPart?email=<email>","devca01.apiauto@gmail.com","api_super_admin","GET","NA","404","{""clusterId"":"""",""message"":""User not found in the lookup DB""}"
"Pass","Confluence - NotAllowed","ActualResult - NotAllowed","centralLookupQuantPart","https://canada.dev.apiv2.carear.app/lookup/quantEntangPart?email=<email>","devca02.apiauto@gmail.com","super_admin","GET","NA","404","{""clusterId"":"""",""message"":""User not found in the lookup DB""}"
"Pass","Confluence - Allowed","ActualResult - Allowed","centralLookupQuantPart","https://canada.dev.apiv2.carear.app/lookup/quantEntangPart?email=<email>","mohammednizhar.p+12@carear.com","SystemAnalyst","GET","NA","200","{""clusterId"":""G6d1WakP6PPFubUb"",""type"":1,""gcpTenantId"":""""}"
"Pass","Confluence - Allowed","ActualResult - Allowed","centralLookupQuantPart","https://canada.dev.apiv2.carear.app/lookup/quantEntangPart?email=<email>","mohammednizhar.p+13@carear.com","PartnerCreator","GET","NA","200","{""clusterId"":""G6d1WakP6PPFubUb"",""type"":1,""gcpTenantId"":""""}"
"Pass","Confluence - Allowed","ActualResult - Allowed","centralLookupQuantPart","https://canada.dev.apiv2.carear.app/lookup/quantEntangPart?email=<email>","mohammednizhar.p+14@carear.com","PrimaryTenantAdmin","GET","NA","200","{""clusterId"":""G6d1WakP6PPFubUb"",""type"":1,""gcpTenantId"":""""}"
"Pass","Confluence - Allowed","ActualResult - Allowed","centralLookupQuantPart","https://canada.dev.apiv2.carear.app/lookup/quantEntangPart?email=<email>","mohammednizhar.p+15@carear.com","SecondaryTenantAdmin","GET","NA","200","{""clusterId"":""G6d1WakP6PPFubUb"",""type"":1,""gcpTenantId"":""""}"
"Pass","Confluence - Allowed","ActualResult - Allowed","centralLookupQuantPart","https://canada.dev.apiv2.carear.app/lookup/quantEntangPart?email=<email>","mohammednizhar.p+16@carear.com","Analyst","GET","NA","200","{""clusterId"":""G6d1WakP6PPFubUb"",""type"":1,""gcpTenantId"":""""}"
"Pass","Confluence - Allowed","ActualResult - Allowed","centralLookupQuantPart","https://canada.dev.apiv2.carear.app/lookup/quantEntangPart?email=<email>","mohammednizhar.p+18@carear.com","User","GET","NA","200","{""clusterId"":""G6d1WakP6PPFubUb"",""type"":1,""gcpTenantId"":""""}"
"Pass","Confluence - Allowed","ActualResult - Allowed","centralLookupQuantPart","https://canada.dev.apiv2.carear.app/lookup/quantEntangPart?email=<email>","mohammednizhar.p+17@carear.com","Creator","GET","NA","200","{""clusterId"":""G6d1WakP6PPFubUb"",""type"":1,""gcpTenantId"":""""}"
"Pass","Confluence - Allowed","ActualResult - Allowed","centralLookupQuantPart","https://canada.dev.apiv2.carear.app/lookup/quantEntangPart?email=<email>","mohammednizhar.p+19@carear.com","AnotherPrimaryTenantAdmin","GET","NA","200","{""clusterId"":""G6d1WakP6PPFubUb"",""type"":1,""gcpTenantId"":""""}"
"Pass","Confluence - Allowed","ActualResult - Allowed","centralLookupQuantPart","https://canada.dev.apiv2.carear.app/lookup/quantEntangPart?email=<email>","mohammednizhar.p+20@carear.com","SecTenantAdminFromAnotherTenantUnderSameRegion","GET","NA","200","{""clusterId"":""G6d1WakP6PPFubUb"",""type"":1,""gcpTenantId"":""""}"
"Pass","Confluence - Allowed","ActualResult - Allowed","centralLookupQuantPart","https://canada.dev.apiv2.carear.app/lookup/quantEntangPart?email=<email>","mohammednizhar.p+21@carear.com","AnalystRoleFromFromAnotherTenantUnderSameRegion","GET","NA","200","{""clusterId"":""G6d1WakP6PPFubUb"",""type"":1,""gcpTenantId"":""""}"
"Pass","Confluence - Allowed","ActualResult - Allowed","centralLookupQuantPart","https://canada.dev.apiv2.carear.app/lookup/quantEntangPart?email=<email>","mohammednizhar.p+23@carear.com","UserRoleFromFromAnotherTenantUnderSameRegion","GET","NA","200","{""clusterId"":""G6d1WakP6PPFubUb"",""type"":1,""gcpTenantId"":""""}"
"Pass","Confluence - Allowed","ActualResult - Allowed","centralLookupQuantPart","https://canada.dev.apiv2.carear.app/lookup/quantEntangPart?email=<email>","mohammednizhar.p+22@carear.com","CreatorRoleUserFromDifferentTenant","GET","NA","200","{""clusterId"":""G6d1WakP6PPFubUb"",""type"":1,""gcpTenantId"":""""}"
"Pass","Confluence - NotAllowed","ActualResult - NotAllowed","centralLookupQuantPart","https://canada.dev.apiv2.carear.app/lookup/quantEntangPart?email=<email>","deveu01.apiauto@gmail.com","DifferentRegionAPISuperAdmin","GET","NA","404","{""clusterId"":"""",""message"":""User not found in the lookup DB""}"
"Pass","Confluence - NotAllowed","ActualResult - NotAllowed","centralLookupQuantPart","https://canada.dev.apiv2.carear.app/lookup/quantEntangPart?email=<email>","deveu02.apiauto@gmail.com","DifferentRegionSuperAdmin","GET","NA","404","{""clusterId"":"""",""message"":""User not found in the lookup DB""}"
"Pass","Confluence - Allowed","ActualResult - Allowed","centralLookupQuantPart","https://canada.dev.apiv2.carear.app/lookup/quantEntangPart?email=<email>","Venkata.Jonnalagadda@carear.com","DifferentRegionSystemAnalyst","GET","NA","200","{""clusterId"":""6DmJebNZf7tfNaJM"",""type"":1,""gcpTenantId"":""""}"
"Pass","Confluence - Allowed","ActualResult - Allowed","centralLookupQuantPart","https://canada.dev.apiv2.carear.app/lookup/quantEntangPart?email=<email>","Venkata.Jonnalagadda+1@carear.com","DiffRegionPartnerCreator","GET","NA","200","{""clusterId"":""6DmJebNZf7tfNaJM"",""type"":1,""gcpTenantId"":""""}"
