"Result","IsRoleAllowedAsPerConfluence::Allowed,NotAllowed","IsRoleAllowedActually","MethodName","APIEndPoint","userName","Role","Typeofrequest","Payload","ResponseStatusCOde","Response"
"Pass","Confluence - Allowed","ActualResult - NotAllowed","createTenantAPI",,"dev01.apiauto@gmail.com","api_super_admin",,"{""tenantPhysicalAddress"":"""",""salesforceConnectorEntitlement"":""dca"",""customerSuccessManager"":"""",""resellerOfRecord"":"""",""assistUsageType"":""456"",""gcpTenantId"":"""",""customerPlan"":""234"",""transactionReason"":""purchase"",""customerStatus"":""431"",""expiryDate"":""{seconds: 1684693799, nanoseconds: 999000000}"",""tenantAdminLastName"":""456"",""contractEffectiveDate"":""xy/x/zz"",""numberUsers"":""no"",""joinDate"":""{seconds: 1669026576, nanoseconds: 771000000}"",""tenantName"":""12345"",""azTenantId"":"""",""azAppId"":"""",""referralCode"":"""",""imageRecognitionEntitlement"":""gv3"",""tenantAdminFirstName"":""123"",""tierLevel"":""mnb"",""disabled"":""789"",""customerCRMID"":"""",""zQuoteID"":"""",""azAppSecret"":"""",""tenantAdminEmail"":""123456@xyz.com"",""aiEnabled"":""345"",""subscriptionTerm"":""bcd"",""numberVideoRecordingUsers"":""fgh"",""servicePackage"":""2345"",""createdBy"":""678"",""serviceNowConnectorEntitlement"":""mnv1"",""instructSessionsPurchased"":""xvb""}","400","{""message"":""Bad request"",""errors"":[{""msg"":""Service Package must have any one of the values Flex, Pro, Premium, PremiumPlus"",""value"":""2345"",""param"":""servicePackage""},{""msg"":""Invalid First Name value"",""value"":""123"",""param"":""tenantAdminFirstName""},{""msg"":""Invalid Last Name value"",""value"":""456"",""param"":""tenantAdminLastName""},{""msg"":""Invalid Created By value. Valid values are 'Zuora','Salesforce','AR Enabled Support','Manual'"",""value"":""678"",""param"":""createdBy""},{""msg"":""Assist Usage type is not requried when customer plan is not platform"",""value"":""456"",""param"":""assistUsageType""},{""msg"":""disabled field should be a boolean"",""value"":""789"",""param"":""disabled""},{""msg"":""Service Now Connector Entitlement field should be a boolean"",""value"":""mnv1"",""param"":""serviceNowConnectorEntitlement""},{""msg"":""Salesforce Connector Entitlement field should be a boolean"",""value"":""dca"",""param"":""salesforceConnectorEntitlement""},{""msg"":""Instruct Session Purchased should be an Integer"",""value"":""xvb"",""param"":""instructSessionsPurchased""},{""msg"":""Please enter valid Contract Effective Date with MM/DD/YYYY format"",""value"":""xy/x/zz"",""param"":""contractEffectiveDate""},{""msg"":""Tier Level should be an integer"",""value"":""mnb"",""param"":""tierLevel""},{""msg"":""Number of Video Recording Users should be an integer"",""value"":""fgh"",""param"":""numberVideoRecordingUsers""},{""msg"":""Invalid Customer Status. Valid values are 'suspended', 'paying', 'trial' or 'pendingDeletion'"",""value"":""431"",""param"":""customerStatus""},{""msg"":""Maximum Subscribers should be an integer within 10 to 10000"",""value"":""no"",""param"":""numberUsers""},{""msg"":""Subcription Term should be an integer greater than 0"",""value"":""bcd"",""param"":""subscriptionTerm""},{""msg"":""AI Service Enabled field should be a boolean"",""value"":""345"",""param"":""aiEnabled""},{""msg"":""Invalid Plan Type. Valid values are 'core', 'enterprise', 'trial' or platform"",""value"":""234"",""param"":""customerPlan""},{""msg"":""Image Recognition Entitlement field should be a boolean"",""value"":""gv3"",""param"":""imageRecognitionEntitlement""}]}"
"Pass","Confluence - Allowed","ActualResult - NotAllowed","createTenantAPI",,"dev02.apiauto@gmail.com","super_admin",,"{""tenantPhysicalAddress"":"""",""salesforceConnectorEntitlement"":""dca"",""customerSuccessManager"":"""",""resellerOfRecord"":"""",""assistUsageType"":""456"",""gcpTenantId"":"""",""customerPlan"":""234"",""transactionReason"":""purchase"",""customerStatus"":""431"",""expiryDate"":""{seconds: 1684693799, nanoseconds: 999000000}"",""tenantAdminLastName"":""456"",""contractEffectiveDate"":""xy/x/zz"",""numberUsers"":""no"",""joinDate"":""{seconds: 1669026576, nanoseconds: 771000000}"",""tenantName"":""12345"",""azTenantId"":"""",""azAppId"":"""",""referralCode"":"""",""imageRecognitionEntitlement"":""gv3"",""tenantAdminFirstName"":""123"",""tierLevel"":""mnb"",""disabled"":""789"",""customerCRMID"":"""",""zQuoteID"":"""",""azAppSecret"":"""",""tenantAdminEmail"":""123456@xyz.com"",""aiEnabled"":""345"",""subscriptionTerm"":""bcd"",""numberVideoRecordingUsers"":""fgh"",""servicePackage"":""2345"",""createdBy"":""678"",""serviceNowConnectorEntitlement"":""mnv1"",""instructSessionsPurchased"":""xvb""}","400","{""message"":""Bad request"",""errors"":[{""msg"":""Service Package must have any one of the values Flex, Pro, Premium, PremiumPlus"",""value"":""2345"",""param"":""servicePackage""},{""msg"":""Invalid First Name value"",""value"":""123"",""param"":""tenantAdminFirstName""},{""msg"":""Invalid Last Name value"",""value"":""456"",""param"":""tenantAdminLastName""},{""msg"":""Invalid Created By value. Valid values are 'Zuora','Salesforce','AR Enabled Support','Manual'"",""value"":""678"",""param"":""createdBy""},{""msg"":""Assist Usage type is not requried when customer plan is not platform"",""value"":""456"",""param"":""assistUsageType""},{""msg"":""disabled field should be a boolean"",""value"":""789"",""param"":""disabled""},{""msg"":""Service Now Connector Entitlement field should be a boolean"",""value"":""mnv1"",""param"":""serviceNowConnectorEntitlement""},{""msg"":""Salesforce Connector Entitlement field should be a boolean"",""value"":""dca"",""param"":""salesforceConnectorEntitlement""},{""msg"":""Instruct Session Purchased should be an Integer"",""value"":""xvb"",""param"":""instructSessionsPurchased""},{""msg"":""Please enter valid Contract Effective Date with MM/DD/YYYY format"",""value"":""xy/x/zz"",""param"":""contractEffectiveDate""},{""msg"":""Tier Level should be an integer"",""value"":""mnb"",""param"":""tierLevel""},{""msg"":""Number of Video Recording Users should be an integer"",""value"":""fgh"",""param"":""numberVideoRecordingUsers""},{""msg"":""Invalid Customer Status. Valid values are 'suspended', 'paying', 'trial' or 'pendingDeletion'"",""value"":""431"",""param"":""customerStatus""},{""msg"":""Maximum Subscribers should be an integer within 10 to 10000"",""value"":""no"",""param"":""numberUsers""},{""msg"":""Subcription Term should be an integer greater than 0"",""value"":""bcd"",""param"":""subscriptionTerm""},{""msg"":""AI Service Enabled field should be a boolean"",""value"":""345"",""param"":""aiEnabled""},{""msg"":""Invalid Plan Type. Valid values are 'core', 'enterprise', 'trial' or platform"",""value"":""234"",""param"":""customerPlan""},{""msg"":""Image Recognition Entitlement field should be a boolean"",""value"":""gv3"",""param"":""imageRecognitionEntitlement""}]}"
"Pass","Confluence - Allowed","ActualResult - NotAllowed","updateTenantAPI",,"dev01.apiauto@gmail.com","api_super_admin",,"{""tenantPhysicalAddress"":""234"",""customerSuccessManager"":""3456"",""resellerOfRecord"":""3456"",""numberVideoRecordingUsers"":""wert"",""tenantAdminLastName"":""54321"",""numberUsers"":""abc"",""tenantName"":""345"",""createdBy"":""123"",""isServiceNowCustomer"":""67"",""referralCode"":""3546"",""tenantId"":""TgzrhLm93xUazIpxN6as"",""tenantAdminFirstName"":""2345"",""tierLevel"":""asd"",""disabled"":""34"",""customerCRMID"":""abc"",""zQuoteID"":""123""}","400","{""message"":""Bad request"",""errors"":[{""msg"":""Invalid Created By value. Valid values are 'Zuora','Salesforce','AR Enabled Support','Manual'"",""value"":""123"",""param"":""createdBy""},{""msg"":""Maximum Subscribers should be an integer within 10 to 10000"",""value"":""abc"",""param"":""numberUsers""},{""msg"":""disabled field should be a boolean"",""value"":""34"",""param"":""disabled""},{""msg"":""Number of Video Recording Users should be an integer"",""value"":""wert"",""param"":""numberVideoRecordingUsers""},{""msg"":""Tier Level should be an integer"",""value"":""asd"",""param"":""tierLevel""}]}"
"Pass","Confluence - Allowed","ActualResult - NotAllowed","updateTenantAPI",,"dev02.apiauto@gmail.com","super_admin",,"{""tenantPhysicalAddress"":""234"",""customerSuccessManager"":""3456"",""resellerOfRecord"":""3456"",""numberVideoRecordingUsers"":""wert"",""tenantAdminLastName"":""54321"",""numberUsers"":""abc"",""tenantName"":""345"",""createdBy"":""123"",""isServiceNowCustomer"":""67"",""referralCode"":""3546"",""tenantId"":""kvpKtvjWFsby5iCUy7EP"",""tenantAdminFirstName"":""2345"",""tierLevel"":""asd"",""disabled"":""34"",""customerCRMID"":""abc"",""zQuoteID"":""123""}","400","{""message"":""Bad request"",""errors"":[{""msg"":""Invalid Created By value. Valid values are 'Zuora','Salesforce','AR Enabled Support','Manual'"",""value"":""123"",""param"":""createdBy""},{""msg"":""Maximum Subscribers should be an integer within 10 to 10000"",""value"":""abc"",""param"":""numberUsers""},{""msg"":""disabled field should be a boolean"",""value"":""34"",""param"":""disabled""},{""msg"":""Number of Video Recording Users should be an integer"",""value"":""wert"",""param"":""numberVideoRecordingUsers""},{""msg"":""Tier Level should be an integer"",""value"":""asd"",""param"":""tierLevel""}]}"
"Pass","Confluence - Allowed","ActualResult - NotAllowed","tenantAdminAddGroupAPI",,"dev02.apiauto@gmail.com","super_admin",,"{""tenantId"":""uMbQiXOc1pHs49b46fcp"",""group"":""I""}","400","{""message"":""Bad request"",""errors"":[{""msg"":""Group value should have minimum 2 and maximum 16 characters"",""value"":""I"",""param"":""group""}]}"
"Pass","Confluence - Allowed","ActualResult - NotAllowed","tenantAdminAddGroupAPI",,"dev03.apiauto@gmail.com","PrimaryTenantAdmin",,"{""tenantId"":""uMbQiXOc1pHs49b46fcp"",""group"":""L""}","400","{""message"":""Bad request"",""errors"":[{""msg"":""Group value should have minimum 2 and maximum 16 characters"",""value"":""L"",""param"":""group""}]}"
"Pass","Confluence - Allowed","ActualResult - NotAllowed","tenantAdminAddGroupAPI",,"dev04.apiauto@gmail.com","SecondaryTenantAdmin",,"{""tenantId"":""uMbQiXOc1pHs49b46fcp"",""group"":""E""}","400","{""message"":""Bad request"",""errors"":[{""msg"":""Group value should have minimum 2 and maximum 16 characters"",""value"":""E"",""param"":""group""}]}"
"Pass","Confluence - Allowed","ActualResult - NotAllowed","tenantAdminUpdateGroupAPI","https://dev.apiv2.carear.app/tenantAdmin/groups/updateGroup","dev02.apiauto@gmail.com","super_admin","PUT","{""tenantId"":""uMbQiXOc1pHs49b46fcp"",""newGroup"":""F"",""oldGroup"":""Agsajykhve""}","400","{""message"":""Bad request"",""errors"":[{""msg"":""Group value should have minimum 2 and maximum 16 characters"",""value"":""F"",""param"":""newGroup""}]}"
"Pass","Confluence - Allowed","ActualResult - NotAllowed","tenantAdminUpdateGroupAPI","https://dev.apiv2.carear.app/tenantAdmin/groups/updateGroup","dev03.apiauto@gmail.com","PrimaryTenantAdmin","PUT","{""tenantId"":""uMbQiXOc1pHs49b46fcp"",""newGroup"":""B"",""oldGroup"":""Lcevijrysb""}","400","{""message"":""Bad request"",""errors"":[{""msg"":""Group value should have minimum 2 and maximum 16 characters"",""value"":""B"",""param"":""newGroup""}]}"
"Pass","Confluence - Allowed","ActualResult - NotAllowed","tenantAdminUpdateGroupAPI","https://dev.apiv2.carear.app/tenantAdmin/groups/updateGroup","dev04.apiauto@gmail.com","SecondaryTenantAdmin","PUT","{""tenantId"":""uMbQiXOc1pHs49b46fcp"",""newGroup"":""O"",""oldGroup"":""Bxjmmdolvi""}","400","{""message"":""Bad request"",""errors"":[{""msg"":""Group value should have minimum 2 and maximum 16 characters"",""value"":""O"",""param"":""newGroup""}]}"
