"Result","IsRoleAllowedAsPerConfluence::Allowed,NotAllowed","IsRoleAllowedActually","MethodName","APIEndPoint","userName","Role","Typeofrequest","Payload","ResponseStatusCOde","Response"
"Pass","Confluence - NotAllowed","ActualResult - NotAllowed","userGetFeatureFormsAPI","https://hyperspace.apiv2.carear.app/user/getFeatureTeacherParms/?email=mohammednizhar.p+29@carear.com","hyperspace01.apiauto@gmail.com","api_super_admin","GET","NA","403","{""error"":""Insufficient Permission"",""message"":""Failed to authenticate the User""}"
"Pass","Confluence - NotAllowed","ActualResult - NotAllowed","userGetFeatureFormsAPI","https://hyperspace.apiv2.carear.app/user/getFeatureTeacherParms/?email=mohammednizhar.p+29@carear.com","hyperspace02.apiauto@gmail.com","super_admin","GET","NA","403","{""error"":""Insufficient Permission"",""message"":""Failed to authenticate the User"",""status"":""Forbidden""}"
"Pass","Confluence - NotAllowed","ActualResult - NotAllowed","userGetFeatureFormsAPI","https://hyperspace.apiv2.carear.app/user/getFeatureTeacherParms/?email=mohammednizhar.p+29@carear.com","mohammednizhar.p+25@carear.com","SystemAnalyst","GET","NA","403","{""error"":""Insufficient Permission"",""message"":""Failed to authenticate the User"",""status"":""Forbidden""}"
"Pass","Confluence - NotAllowed","ActualResult - NotAllowed","userGetFeatureFormsAPI","https://hyperspace.apiv2.carear.app/user/getFeatureTeacherParms/?email=mohammednizhar.p+29@carear.com","mohammednizhar.p+26@carear.com","PartnerCreator","GET","NA","403","{""error"":""Insufficient Permission"",""message"":""Failed to authenticate the User""}"
"Pass","Confluence - Allowed","ActualResult - Allowed","userGetFeatureFormsAPI","https://hyperspace.apiv2.carear.app/user/getFeatureTeacherParms/?email=mohammednizhar.p+29@carear.com","Venkata.Jonnalagadda@carear.com","PrimaryTenantAdmin","GET","NA","200","{""featureTeacher"":{""0"":2,""1"":2,""2"":2,""3"":1},""featureTeacherCompletion"":true}"
"Pass","Confluence - Allowed","ActualResult - Allowed","userGetFeatureFormsAPI","https://hyperspace.apiv2.carear.app/user/getFeatureTeacherParms/?email=mohammednizhar.p+29@carear.com","mohammednizhar.p+27@carear.com","SecondaryTenantAdmin","GET","NA","200","{""featureTeacher"":{""0"":2,""1"":2,""2"":2,""3"":1},""featureTeacherCompletion"":true}"
"Pass","Confluence - Allowed","ActualResult - Allowed","userGetFeatureFormsAPI","https://hyperspace.apiv2.carear.app/user/getFeatureTeacherParms/?email=mohammednizhar.p+29@carear.com","mohammednizhar.p+28@carear.com","Analyst","GET","NA","200","{""featureTeacher"":{""0"":2,""1"":2,""2"":2,""3"":1},""featureTeacherCompletion"":true}"
"Pass","Confluence - Allowed","ActualResult - Allowed","userGetFeatureFormsAPI","https://hyperspace.apiv2.carear.app/user/getFeatureTeacherParms/?email=mohammednizhar.p+29@carear.com","mohammednizhar.p+29@carear.com","User","GET","NA","200","{""featureTeacher"":{""0"":2,""1"":2,""2"":2,""3"":1},""featureTeacherCompletion"":true}"
"Pass","Confluence - Allowed","ActualResult - Allowed","userGetFeatureFormsAPI","https://hyperspace.apiv2.carear.app/user/getFeatureTeacherParms/?email=mohammednizhar.p+29@carear.com","Venkata.Jonnalagadda+1@carear.com","Creator","GET","NA","200","{""featureTeacher"":{""0"":2,""1"":2,""2"":2,""3"":1},""featureTeacherCompletion"":true}"
"Pass","Confluence - NotAllowed","ActualResult - NotAllowed","userGetFeatureFormsAPI","https://hyperspace.apiv2.carear.app/user/getFeatureTeacherParms/?email=mohammednizhar.p+29@carear.com","mohammednizhar.p+30@carear.com","AnotherPrimaryTenantAdmin","GET","NA","403","{""error"":""Insufficient Permission"",""message"":""Failed to authenticate the User"",""status"":""Forbidden""}"
